# gunzip -c exp/tri2_1600_25600/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri2_1600_25600/graph 
# Started at Mon Jul 25 02:14:36 IST 2016
#
At utterance begin, SIL accounts for 93.9% of phone occurrences, with duration (median, mean, 95-percentile) is (90,109.5,259) frames.
At utterance begin, nonsilence accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,15.6,58) frames.
At utterance begin, d_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.5,12) frames.
At utterance begin, j_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.5,6) frames.
At utterance begin, m_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (17,28.2,17) frames.
At utterance begin, s_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,26.0,26) frames.
At utterance begin, h_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.0,4) frames.
At utterance begin, a_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.0,13) frames.
At utterance end, SIL accounts for 93.1% of phone occurrences, with duration (median, mean, 95-percentile) is (178,206.4,385) frames.
At utterance end, nonsilence accounts for 6.9% of phone occurrences, with duration (median, mean, 95-percentile) is (125,123.3,292) frames.
At utterance end, r_E accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (140,138.3,286) frames.
At utterance end, aa_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,72.3,30) frames.
At utterance end, ii_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (75,184.3,125) frames.
Overall, nonsilence accounts for 78.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,12.0,32) frames.
Overall, SIL accounts for 21.9% of phone occurrences, with duration (median, mean, 95-percentile) is (130,157.8,363) frames.
Overall, a_I accounts for 12.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,24) frames.
Overall, aa_I accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.9,24) frames.
Overall, r_E accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (20,40.4,151) frames.
Overall, u_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.7,25) frames.
Overall, n_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.6,23) frames.
Overall, r_I accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.0,14) frames.
Overall, p_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, aa_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (19,24.3,57) frames.
Overall, g_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,12) frames.
Overall, l_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,14) frames.
Overall, ii_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (20,31.7,82) frames.
Overall, s_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.7,30) frames.
Overall, ii_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,19) frames.
Overall, w_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,19) frames.
Overall, i_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,19) frames.
Overall, t_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,18) frames.
Overall, j_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,13) frames.
Overall, b_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.2,29) frames.
Overall, b_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,8) frames.
Overall, m_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.1,14) frames.
Overall, o_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.0,41) frames.
Overall, axx_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,9) frames.
Overall, r_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,19) frames.
Overall, d_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,19) frames.
Overall, d_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,16) frames.
Overall, a_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.8,22) frames.
Overall, y_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,15) frames.
Overall, ou_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,15.1,35) frames.
Overall, dxhq_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,20.8,64) frames.
Overall, m_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.9,19) frames.
Overall, h_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,11) frames.
Overall, uu_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.8,20) frames.
Overall, j_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.5,28) frames.
Overall, h_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.9,10) frames.
